ipa	etymological_group
k i jʌ k	native
k ɑ k ɛ	native
k ɑ k jʌ k	sino
k ɑ k jɛ	sino
k ɑ k o ŋ	sino
k ɑ k u	sino
k ɑ k* ɑ i	native
k ɑ n ɑ n	native
k ɑ n ɯ m	native
k ɑ n ɯ ŋ	sino
k ɑ t ɑ k	native
k ɑ t ɑ m	sino
k ɑ t o ŋ	sino
k ɑ l ɑ k	native
k ɑ l jʌ ŋ	sino
k ɑ l jɛ	sino
k ɑ l o	native
k ɑ l u	native
k ɑ l ɯ tɕʰ i m	native
k ɑ l i	native
k ɑ m ɑ	native
k ɑ m ɑ n i	native
k ɑ m ɑ ŋ	sino
k ɑ m jʌ n	sino
k ɑ m jʌ ŋ	sino
k ɑ m u n	sino
k ɑ m u m	native
k ɑ m i	sino
k ɑ p ɑ ŋ	native
k ɑ s ɑ	sino
k ɑ s ɑ ŋ	sino
k ɑ s ʌ l	sino
k ɑ s ɛ	sino
k ɑ s o k	sino
k ɑ s u	sino
k ɑ s ɯ	loan
k ɑ jʌ l	sino
k ɑ o k	sino
k ɑ jo	sino
k ɑ u n	loan
k ɑ u n t ɛ	native
k ɑ wi	native
k ɑ ɯ l	native
k ɑ i t ɯ	loan
k ɑ i p	sino
k ɑ tɕ ɑ ŋ	sino
k ɑ tɕ ʌ n	sino
k ɑ tɕ ʌ ŋ	sino
k ɑ tɕ u ŋ	sino
k ɑ tɕ* ɑ	mix
k ɑ tɕʰ ɑ	sino
k ɑ tɕʰ u k	sino
k ɑ tɕʰ u l	sino
k ɑ tʰ o l l i k	loan
k ɑ h ɑ	sino
k ɑ h o k	sino
k ɑ k	sino
k ɑ k k ɑ k	sino
k ɑ k k jɛ	sino
k ɑ k k u k	sino
k ɑ k k ɯ p	sino
k ɑ k k i	sino
k ɑ k t o	sino
k ɑ k l jo	sino
k ɑ k p jʌ l	sino
k ɑ k p o n	sino
k ɑ k s ɛ k	sino
k ɑ k s ʌ	sino
k ɑ k s ʌ ŋ	sino
k ɑ k s i	native
k ɑ k o	sino
k ɑ k i n	sino
k ɑ k tɕ ɑ	sino
k ɑ k tɕ o ŋ	sino
k ɑ k tɕ i	sino
k ɑ n k jʌ k	sino
k ɑ n k jʌ l	sino
k ɑ n k wa	sino
k ɑ n t ɑ n	sino
k ɑ n l ja k	sino
k ɑ n p u	sino
k ɑ n s ɑ	sino
k ɑ n s ʌ p	sino
k ɑ n s o	sino
k ɑ n s u	sino
k ɑ n s i k	sino
k ɑ n jʌ m	sino
k ɑ n tɕ ʌ p	sino
k ɑ n tɕ u	sino
k ɑ n tɕ i l	sino
k ɑ n tɕʰ ʌ p	sino
k ɑ n pʰ ɑ	sino
k ɑ n pʰ ɑ n	sino
k ɑ n h ɛ ŋ	sino
k ɑ n h o	sino
k ɑ n h o k	sino
k ɑ l	native
k ɑ l k i	native
k ɑ l t ɯ ŋ	sino
k ɑ l l ɛ	native
k ɑ l m ɑ ŋ	sino
k ɑ l m ɛ k i	native
k ɑ l s ɛ k	sino
k ɑ l tɕ ɯ ŋ	sino
k ɑ l pʰ i	native
k ɑ m k ɑ k	sino
k ɑ m k jʌ k	sino
k ɑ m k ɯ m	sino
k ɑ m k i	sino
k ɑ m n ɛ	sino
k ɑ m t ɑ ŋ	sino
k ɑ m t o ŋ	sino
k ɑ m m jʌ n	sino
k ɑ m m jʌ ŋ	sino
k ɑ m m i	sino
k ɑ m p ɑ ŋ	sino
k ɑ m p jʌ l	sino
k ɑ m s ɑ	sino
k ɑ m s ɑ ŋ	sino
k ɑ m s ʌ ŋ	sino
k ɑ m s o	sino
k ɑ m s u	sino
k ɑ m s i	sino
k ɑ m ɑ n	sino
k ɑ m jʌ m	sino
k ɑ m o k	sino
k ɑ m tɕ ɑ	native
k ɑ m tɕ ʌ ŋ	sino
k ɑ m tɕʰ o k	sino
k ɑ m tɕʰ u k	sino
k ɑ m tʰ ɑ n	sino
k ɑ m h ɛ ŋ	sino
k ɑ m h wɛ	sino
k ɑ p	sino
k ɑ p tɕ ɑ k	sino
k ɑ p pʰ ɑ n	sino
k ɑ p s	native
k ɑ s	native
k ɑ ŋ	sino
k ɑ ŋ k ɑ n	sino
k ɑ ŋ k jʌ ŋ	sino
k ɑ ŋ k u k	sino
k ɑ ŋ t ɑ ŋ	sino
k ɑ ŋ t o	sino
k ɑ ŋ l jʌ k	sino
k ɑ ŋ l jʌ ŋ	sino
k ɑ ŋ l ɯ ŋ	sino
k ɑ ŋ p ɑ k	sino
k ɑ ŋ p jʌ n	sino
k ɑ ŋ s ɑ	sino
k ɑ ŋ s ɑ n	sino
k ɑ ŋ s ɛ	sino
k ɑ ŋ ɑ tɕ i	native
k ɑ ŋ ɑ p	sino
k ɑ ŋ jʌ n	sino
k ɑ ŋ jo	sino
k ɑ ŋ wʌ n	sino
k ɑ ŋ ɰi	sino
k ɑ ŋ i n	sino
k ɑ ŋ tɕ ɑ	sino
k ɑ ŋ tɕ ʌ m	sino
k ɑ ŋ tɕ ɛ	sino
k ɑ ŋ tɕ o	sino
k ɑ ŋ tɕ wa	sino
k ɑ ŋ h ɑ	sino
k ɑ ŋ h ɛ ŋ	sino
k ɑ ŋ h wa	sino
k ɛ k wa n	sino
k ɛ k u l i	native
k ɛ k u k	sino
k ɛ n ɑ l i	native
k ɛ n jʌ n	sino
k ɛ n jʌ m	sino
k ɛ l ja ŋ	sino
k ɛ m ɑ k	sino
k ɛ m i	native
k ɛ p ɑ l	sino
k ɛ p jʌ k	sino
k ɛ p jʌ l	sino
k ɛ p o ŋ	sino
k ɛ p i	native
k ɛ s ʌ n	sino
k ɛ s ʌ l	sino
k ɛ s ʌ ŋ	sino
k ɛ s o	sino
k ɛ s i	sino
k ɛ ʌ p	sino
k ɛ jʌ n	sino
k ɛ jo	sino
k ɛ u n	sino
k ɛ u l	native
k ɛ wʌ n	sino
k ɛ ɰi	sino
k ɛ i n	sino
k ɛ i p	sino
k ɛ tɕ ɑ ŋ	sino
k ɛ tɕ ʌ ŋ	sino
k ɛ tɕ o	sino
k ɛ tɕ i n	sino
k ɛ tɕʰ ʌ k	sino
k ɛ tɕʰ ʌ n	mix
k ɛ tɕʰ ɛ	sino
k ɛ tɕʰ wɛ	sino
k ɛ tʰ ɑ n	sino
k ɛ tʰ o ŋ	sino
k ɛ pʰ jʌ n	sino
k ɛ pʰ jo	sino
k ɛ h ɑ ŋ	sino
k ɛ h ʌ n	sino
k ɛ h jʌ k	sino
k ɛ h wa	sino
k ɛ k k wa n	sino
k ɛ k s ʌ k	sino
k ɛ k s i l	sino
k ɛ k tɕ i	sino
k ɛ k tɕʰ ɛ	sino
k ɛ ŋ s i n	sino
k ʌ t ɛ	sino
k ʌ t o ŋ	sino
k ʌ t u	sino
k ʌ l ɛ	sino
k ʌ l o n	sino
k ʌ l ɯ m	native
k ʌ l i	native
k ʌ l i k* i m	native
k ʌ m ɑ n	sino
k ʌ m i	native
k ʌ p u	sino
k ʌ p u k	native
k ʌ s ɛ	sino
k ʌ s i	sino
k ʌ s i l	sino
k ʌ ɛ k	sino
k ʌ jʌ k	sino
k ʌ u l	native
k ʌ wi	native
k ʌ i n	sino
k ʌ tɕ ʌ l	sino
k ʌ tɕ ʌ m	sino
k ʌ tɕ u	sino
k ʌ tɕ i	native
k ʌ tɕ i s	native
k ʌ tɕʰ ʌ	sino
k ʌ tɕʰ i	sino
k ʌ pʰ u m	native
k ʌ h ɛ ŋ	sino
k ʌ k tɕ ʌ ŋ	native
k ʌ n	sino
k ʌ n k ɑ ŋ	sino
k ʌ n k u k	sino
k ʌ n n ʌ	native
k ʌ n t ɑ l	sino
k ʌ n l i p	sino
k ʌ n m u l	sino
k ʌ n s ʌ l	sino
k ʌ n s ʌ ŋ	native
k ʌ n s u	sino
k ʌ n ɰi	sino
k ʌ n tɕ ʌ n	sino
k ʌ n tɕ o	sino
k ʌ n tɕ i	native
k ʌ n tɕʰ u k	sino
k ʌ l ɯ m	native
k ʌ l tɕ ɑ k	sino
k ʌ m k ʌ	sino
k ʌ m m u n	sino
k ʌ m s ɑ	sino
k ʌ m s ɛ k	sino
k ʌ m s o	sino
k ʌ m jʌ l	sino
k ʌ m tɕ ʌ ŋ	native
k ʌ m tɕ ɯ ŋ	sino
k ʌ m tɕ i	mix
k ʌ m tɕ i n	sino
k ʌ m tɕʰ ɑ l	sino
k ʌ m tɕʰ u l	sino
k ʌ m tʰ o	sino
k ʌ tʰ	native
k ɛ	native
k ɛ n o m	loan
k ɛ l i l l ɑ	loan
k ɛ ɯ l ɯ m	native
k ɛ i m	loan
k ɛ tɕ ɛ	sino
k jʌ n ja ŋ	native
k jʌ u l	native
k jʌ tɕ ɑ	native
k jʌ k	sino
k jʌ k l jʌ	sino
k jʌ k l i	sino
k jʌ k s i k	sino
k jʌ k tɕ ʌ ŋ	sino
k jʌ k tɕʰ ɑ	sino
k jʌ k h wa	sino
k jʌ n k o	sino
k jʌ n tɕ u	sino
k jʌ n tɕ i	sino
k jʌ n h ɑ k	sino
k jʌ n h ɛ	sino
k jʌ l k wa	sino
k jʌ l k u k	sino
k jʌ l t ɑ n	sino
k jʌ l l jʌ l	sino
k jʌ l l o n	sino
k jʌ l m ɑ l	sino
k jʌ l p jʌ l	sino
k jʌ l p u	sino
k jʌ l s ɑ n	sino
k jʌ l s ʌ ŋ	sino
k jʌ l s o k	sino
k jʌ l s ɯ ŋ	sino
k jʌ l s i l	sino
k jʌ l s i m	sino
k jʌ l jʌ	sino
k jʌ l ɰi	sino
k jʌ l tɕ ɛ	sino
k jʌ l tɕ ʌ m	sino
k jʌ l tɕ ʌ ŋ	sino
k jʌ l tɕ ɛ	sino
k jʌ l tɕ i p	sino
k jʌ l tʰ ɑ k	sino
k jʌ l pʰ i p	sino
k jʌ l h ɑ m	sino
k jʌ l h ɑ p	sino
k jʌ l h o n	sino
k jʌ m	sino
k jʌ m s o n	sino
k jʌ m h ɑ	sino
k jʌ m h ʌ	sino
k jʌ p	native
k jʌ ŋ k ɑ m	sino
k jʌ ŋ k jɛ	sino
k jʌ ŋ k o	sino
k jʌ ŋ k wa	sino
k jʌ ŋ k wa n	sino
k jʌ ŋ k i	sino
k jʌ ŋ l jʌ k	sino
k jʌ ŋ l jʌ n	sino
k jʌ ŋ l o	sino
k jʌ ŋ l i	sino
k jʌ ŋ m ɛ	sino
k jʌ ŋ m jʌ l	sino
k jʌ ŋ p o	sino
k jʌ ŋ p i	sino
k jʌ ŋ s ɑ	sino
k jʌ ŋ s ɑ ŋ	sino
k jʌ ŋ s ɛ k	sino
k jʌ ŋ s i	sino
k jʌ ŋ ɑ k	sino
k jʌ ŋ jʌ n	sino
k jʌ ŋ jʌ ŋ	sino
k jʌ ŋ u	sino
k jʌ ŋ wi	sino
k jʌ ŋ ju	sino
k jʌ ŋ i	sino
k jʌ ŋ tɕ ɑ k	sino
k jʌ ŋ tɕ ɛ ŋ	sino
k jʌ ŋ tɕ ʌ n	sino
k jʌ ŋ tɕ ɛ	sino
k jʌ ŋ tɕ u	sino
k jʌ ŋ tɕ i	sino
k jʌ ŋ tɕ i k	sino
k jʌ ŋ tɕʰ ɑ l	sino
k jʌ ŋ tɕʰ ʌ ŋ	sino
k jʌ ŋ tɕʰ i	sino
k jʌ ŋ pʰ u m	sino
k jʌ ŋ h ja ŋ	sino
k jʌ ŋ h ʌ m	sino
k jʌ ŋ h jʌ p	sino
k jʌ ŋ h o	sino
k jʌ ŋ h wa	sino
k jʌ tʰ	native
k jɛ	sino
k jɛ k o k	sino
k jɛ k ɯ p	sino
k jɛ k i	sino
k jɛ t ɑ n	sino
k jɛ l ɑ n	sino
k jɛ m o	sino
k jɛ m o ŋ	sino
k jɛ p ɑ l	sino
k jɛ p o	sino
k jɛ s ɑ n	sino
k jɛ s o k	sino
k jɛ s ɯ ŋ	sino
k jɛ ja k	sino
k jɛ ʌ m	sino
k jɛ jʌ l	sino
k jɛ wʌ n	sino
k jɛ tɕ ɑ ŋ	sino
k jɛ tɕ ʌ l	sino
k jɛ tɕ ʌ ŋ	sino
k jɛ tɕ wa	sino
k jɛ tɕ i p	native
k jɛ tɕʰ ɯ ŋ	sino
k jɛ tʰ o ŋ	sino
k jɛ h wɛ k	sino
k o k ɑ	sino
k o k ɑ l	sino
k o k ɛ	native
k o k ɛ k	sino
k o k jo	sino
k o k u l jʌ	sino
k o k u m ɑ	native
k o k u k	sino
k o k wi	sino
k o k ɯ p	sino
k o k i	native
k o n ɑ n	sino
k o n wɛ	sino
k o t ɑ n	sino
k o t ɛ	sino
k o t o	sino
k o t o k	sino
k o t ɯ ŋ	sino
k o l ɛ	native
k o l jʌ	sino
k o l jʌ ŋ	sino
k o l u	sino
k o l i	native
k o l i p	sino
k o m ɑ u m	native
k o m o	sino
k o m u n	sino
k o m i n	sino
k o p ɑ l	sino
k o p ɛ k	sino
k o p i	native
k o s ɑ	sino
k o s ɑ l i	native
k o s ɑ ŋ	sino
k o s ɛ ŋ	sino
k o s o	sino
k o s o k	sino
k o s u	sino
k o s i	sino
k o s i m	sino
k o ɑ	sino
k o ɑ n	sino
k o ja k	sino
k o ja ŋ	sino
k o ja ŋ i	native
k o jo	native
k o jo ŋ	sino
k o wi	sino
k o ju	sino
k o ɯ l	native
k o ɰi	sino
k o i n	sino
k o tɕ ʌ n	sino
k o tɕ ʌ ŋ	sino
k o tɕ o	sino
k o tɕ o ŋ	sino
k o tɕ i p	sino
k o tɕʰ ɑ k	sino
k o tɕʰ ɑ l	sino
k o tɕʰ ɑ m	sino
k o tɕʰ u	native
k o tɕʰ u ŋ	sino
k o tɕʰ wi	sino
k o tɕʰ ɯ ŋ	sino
k o tʰ o ŋ	sino
k o h ɑ m	sino
k o h ja ŋ	sino
k o k	sino
k o k m u l	sino
k o k s ʌ n	sino
k o k s i k	sino
k o k tɕ o	sino
k o n k jʌ ŋ	sino
k o n l ɑ n	sino
k o n jo k	sino
k o n tɕʰ u ŋ	sino
k o n h o k	sino
k o l	native
k o l k jʌ k	sino
k o l m o k	native
k o l m o l	sino
k o l p ɑ n	sino
k o l s u	sino
k o l tɕ ɑ	sino
k o l tɕʰ i	native
k o l pʰ ɯ	loan
k o m	native
k o p	native
k o ŋ k ɑ n	sino
k o ŋ k ɑ m	sino
k o ŋ k jʌ k	sino
k o ŋ k jʌ ŋ	sino
k o ŋ k o	sino
k o ŋ k o ŋ	sino
k o ŋ k wa n	sino
k o ŋ k jo	sino
k o ŋ k u n	sino
